Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,2000,,0,51.62617969
4292.839626,34,OPTIMAL,695.7523737,3,0,4988.592,6.60803852,No,0,0,34.78761869,,,,
4295.514181,35,OPTIMAL,708.3490192,3,0,5003.8632,16.2683035,Yes,0,0,35.41745096,,,,
4293.687869,36,OPTIMAL,699.9945307,3,0,4993.6824,4.961933791,No,0,0,34.99972654,,,,
4303.913159,37,OPTIMAL,562.5092414,3,0,4866.4224,3.210396322,No,0,0,28.12546207,,,,
4331.884465,38,OPTIMAL,870.5043354,3,0,5202.3888,13.55565194,Yes,0,0,43.52521677,,,,
4286.053682,39,OPTIMAL,661.8151179,3,0,4947.8688,21.37368838,No,0,0,33.0907559,,,,
4321.611926,40,OPTIMAL,824.7824735,3,0,5146.3944,41.76213897,Yes,0,0,41.23912368,,,,
4314.624367,41,OPTIMAL,521.255633,3,0,4835.88,31.67287128,No,0,0,26.06278165,,,,
4289.631547,42,OPTIMAL,617.5140526,3,0,4907.1456,27.34859689,No,0,0,30.87570263,,,,
4327.215129,43,OPTIMAL,849.7216709,3,0,5176.9368,10.8904015,Yes,0,0,42.48608355,,,,
4301.078741,44,OPTIMAL,733.3268587,3,0,5034.4056,13.87965127,Yes,0,0,36.66634293,,,,
4339.355401,45,OPTIMAL,903.7565985,3,0,5243.112,20.24572449,Yes,0,0,45.18782993,,,,
4327.215129,46,OPTIMAL,849.7216709,3,0,5176.9368,18.222553,Yes,0,0,42.48608355,,,,
4348.694073,47,OPTIMAL,945.3219275,3,0,5294.016,24.9019346,Yes,0,0,47.26609637,,,,
4358.032744,48,OPTIMAL,986.8872564,3,0,5344.92,0.783399268,Yes,0,0,49.34436282,,,,
4296.441608,1,OPTIMAL,712.5119925,4,0,5008.9536,8.506913944,Yes,0,0,35.62559962,,,,
4373.376962,2,OPTIMAL,1135.920538,4,0,5509.2975,26.09515359,Yes,0,0,56.79602692,,,,
4369.536313,3,OPTIMAL,1081.433687,4,0,5450.97,12.36917605,Yes,0,0,54.07168433,,,,
4376.708932,4,OPTIMAL,1185.613568,4,0,5562.3225,25.33652462,Yes,0,0,59.28067842,,,,
4373.376962,5,OPTIMAL,1135.920538,4,0,5509.2975,18.90448904,Yes,0,0,56.79602692,,,,
