Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4392.129236,24,OPTIMAL,558.3696036,2,0,4950.49884,17.44781748,No,0,0,0.837554405,666.6666667,,,,,,,,,
4256.987587,25,OPTIMAL,533.3333333,2,0,4790.32092,20.16780687,No,0,0,0.8,666.6666667,,,,,,,,,
4377.931063,26,OPTIMAL,552.5455375,2,0,4930.4766,27.70704148,No,0,0,0.828818306,666.6666667,,,,,,,,,
4388.562494,27,OPTIMAL,556.9307859,2,0,4945.49328,15.19069635,No,0,0,0.835396179,666.6666667,,,,,,,,,
4438.620326,28,OPTIMAL,576.9507945,2,0,5015.57112,17.79140691,No,0,0,0.865426192,666.6666667,,,,,,,,,
4385.018684,29,OPTIMAL,555.4690364,2,0,4940.48772,18.13793342,No,0,0,0.833203555,666.6666667,,,,,,,,,
4241.970907,30,OPTIMAL,533.3333333,2,0,4775.30424,0.706136512,No,0,0,0.8,666.6666667,,,,,,,,,
4246.976467,31,OPTIMAL,533.3333333,2,0,4780.3098,28.59234393,No,0,0,0.8,666.6666667,,,,,,,,,
4244.016732,32,OPTIMAL,511.2652682,2,0,4755.282,7.720119241,No,0,0,0.766897902,666.6666667,,,,,,,,,
4392.129236,33,OPTIMAL,558.3696036,2,0,4950.49884,34.15091105,No,0,0,0.837554405,666.6666667,,,,,,,,,
4551.82261,34,OPTIMAL,618.9208702,2,0,5170.74348,18.61673454,No,0,0,0.928381305,666.6666667,,,,,,,,,
4312.048747,35,OPTIMAL,533.3333333,2,0,4845.38208,15.4598797,No,0,0,0.8,666.6666667,,,,,,,,,
4399.281712,36,OPTIMAL,561.2282483,2,0,4960.50996,16.00671713,No,0,0,0.841842373,666.6666667,,,,,,,,,
4261.993147,37,OPTIMAL,533.3333333,2,0,4795.32648,0.710514952,No,0,0,0.8,666.6666667,,,,,,,,,
4297.032067,38,OPTIMAL,533.3333333,2,0,4830.3654,20.00636549,No,0,0,0.8,666.6666667,,,,,,,,,
4471.449387,39,OPTIMAL,589.1717729,2,0,5060.62116,0.769611938,No,0,0,0.883757659,666.6666667,,,,,,,,,
4363.75582,40,OPTIMAL,546.6985396,2,0,4910.45436,29.74800572,No,0,0,0.820047809,666.6666667,,,,,,,,,
4475.101969,41,OPTIMAL,590.5247514,2,0,5065.62672,24.22351851,No,0,0,0.885787127,666.6666667,,,,,,,,,
4603.582418,42,OPTIMAL,622.2222222,2,0,5225.80464,9.230345309,No,0,0,0.933333333,666.6666667,,,,,,,,,
4548.16465,43,OPTIMAL,617.57327,2,0,5165.73792,8.274851177,No,0,0,0.926359905,666.6666667,,,,,,,,,
4464.144224,44,OPTIMAL,586.4658158,2,0,5050.61004,15.34678363,No,0,0,0.879698724,666.6666667,,,,,,,,,
4632.006467,45,OPTIMAL,622.2222222,2,0.048923055,5255.838,35.35261571,No,1.609311026,0.030619494,0.933333333,666.6666667,,,,,,,,,
4406.434187,46,OPTIMAL,564.0868931,2,0,4970.52108,26.54437349,No,0,0,0.84613034,666.6666667,,,,,,,,,
4353.124389,47,OPTIMAL,542.3132912,2,0,4895.43768,13.91712651,No,0,0,0.813469937,666.6666667,,,,,,,,,
4317.054307,48,OPTIMAL,533.3333333,2,0,4850.38764,34.99233853,No,0,0,0.8,666.6666667,,,,,,,,,
4246.976467,1,OPTIMAL,533.3333333,3,0,4780.3098,36.97808438,No,0,0,0.705882353,755.5555556,,,,,,,,,
4401.160752,2,OPTIMAL,561.9792482,3,0,4963.14,30.97087593,No,0,0,0.743796064,755.5555556,,,,,,,,,
4603.991635,3,OPTIMAL,678.91023,3,0.033786712,5283.8352,42.41725177,No,0.933334575,0.017663961,0.898557657,755.5555556,,,,,,,,,
4470.892214,4,OPTIMAL,588.9653863,3,0,5059.8576,15.05901245,No,0,0,0.779513011,755.5555556,,,,,,,,,
4444.890787,5,OPTIMAL,579.3340135,3,0,5024.2248,13.59552001,No,0,0,0.766765606,755.5555556,,,,,,,,,
4552.628601,6,OPTIMAL,619.2177991,3,0,5171.8464,5.450519508,No,0,0,0.819552969,755.5555556,,,,,,,,,
4545.188683,7,OPTIMAL,616.4769172,3,0,5161.6656,29.21124582,No,0,0,0.815925332,755.5555556,,,,,,,,,
4530.324047,8,OPTIMAL,610.9799528,3,0,5141.304,8.554655689,No,0,0,0.808649938,755.5555556,,,,,,,,,
4530.324047,9,OPTIMAL,610.9799528,3,0,5141.304,2.701470218,No,0,0,0.808649938,755.5555556,,,,,,,,,
4390.250196,10,OPTIMAL,557.6186037,3,0,4947.8688,23.49328447,No,0,0,0.738024623,755.5555556,,,,,,,,,
4588.141636,11,OPTIMAL,654.9703644,3,0,5243.112,10.77859861,No,0,0,0.866872541,755.5555556,,,,,,,,,
4588.141636,12,OPTIMAL,654.9703644,3,0,5243.112,20.97770268,No,0,0,0.866872541,755.5555556,,,,,,,,,
4560.068519,13,OPTIMAL,621.9586809,3,0,5182.0272,24.71263193,No,0,0,0.823180607,755.5555556,,,,,,,,,
4343.410843,14,OPTIMAL,538.2827569,3,0,4881.6936,21.36198608,No,0,0,0.712433061,755.5555556,,,,,,,,,
4515.466089,15,OPTIMAL,605.4763112,3,0,5120.9424,25.62530473,No,0,0,0.801365706,755.5555556,,,,,,,,,
4605.185344,16,OPTIMAL,682.4188839,3,0.006871137,5288.9256,6.100243083,No,1.321372422,0.024983759,0.903201464,755.5555556,,,,,,,,,
4588.141636,17,OPTIMAL,654.9703644,3,0,5243.112,17.26893757,No,0,0,0.866872541,755.5555556,,,,,,,,,
4426.618715,18,OPTIMAL,572.1540855,3,0,4998.7728,40.37081374,No,0,0,0.75726276,755.5555556,,,,,,,,,
4386.640427,19,OPTIMAL,556.1379726,3,0,4942.7784,0.849139877,No,0,0,0.736064964,755.5555556,,,,,,,,,
4623.170276,20,OPTIMAL,711.1111111,3,0.133711935,5339.8296,28.60567832,No,5.548213073,0.103902437,0.941176471,755.5555556,,,,,,,,,
4441.176297,21,OPTIMAL,577.9581031,3,0,5019.1344,39.74725917,No,0,0,0.764944548,755.5555556,,,,,,,,,
4592.78129,22,OPTIMAL,660.5115105,3,0,5253.2928,23.36356513,No,0,0,0.874206411,755.5555556,,,,,,,,,
4522.895068,23,OPTIMAL,608.228132,3,0,5131.1232,38.83195248,No,0,0,0.805007822,755.5555556,,,,,,,,,
4354.205551,24,OPTIMAL,542.7592487,3,0,4896.9648,2.931278408,No,0,0,0.718357829,755.5555556,,,,,,,,,
4562.651371,25,OPTIMAL,624.4662287,3,0,5187.1176,6.842968105,No,0,0,0.82649942,755.5555556,,,,,,,,,
4372.224927,26,OPTIMAL,550.1918731,3,0,4922.4168,19.51681101,No,0,0,0.728195126,755.5555556,,,,,,,,,
4597.420943,27,OPTIMAL,666.0526565,3,0,5263.4736,37.07065127,No,0,0,0.881540281,755.5555556,,,,,,,,,
4397.5239,28,OPTIMAL,560.5257,3,0,4958.0496,27.51111641,No,0,0,0.74187225,755.5555556,,,,,,,,,
4302.546667,29,OPTIMAL,533.3333333,3,0,4835.88,35.14700527,No,0,0,0.705882353,755.5555556,,,,,,,,,
4569.587728,30,OPTIMAL,632.8010718,3,0,5202.3888,1.374592171,No,0,0,0.83753083,755.5555556,,,,,,,,,
4343.410843,31,OPTIMAL,538.2827569,3,0,4881.6936,4.168192405,No,0,0,0.712433061,755.5555556,,,,,,,,,
4372.224927,32,OPTIMAL,550.1918731,3,0,4922.4168,38.61163691,No,0,0,0.728195126,755.5555556,,,,,,,,,
4623.170276,33,OPTIMAL,711.1111111,3,0.082668375,5339.8296,17.68566834,No,5.548213073,0.103902437,0.941176471,755.5555556,,,,,,,,,
