Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,68.0491199
8219.55774,4055.555556,OPTIMAL,1972.04226,3,0,35.12666426,29,10191.6,Yes,0,0,48.62569956,,
8473.357548,4055.555556,OPTIMAL,2490.658452,3,0,1.358440341,30,10964.016,Yes,0,0,61.41349608,,
8285.294329,4055.555556,OPTIMAL,2002.857671,3,0,4.153165667,31,10288.152,Yes,0,0,49.3855316,,
8314.078246,4055.555556,OPTIMAL,2059.897754,3,0,38.3832018,32,10373.976,Yes,0,0,50.79199941,,
8558.985034,4055.555556,OPTIMAL,2694.686966,3,0,17.49931537,33,11253.672,Yes,0,0,66.44433615,,
8368.618514,4055.555556,OPTIMAL,2144.821486,3,0,6.824832534,34,10513.44,Yes,0,0,52.88600925,,
8375.835908,4055.555556,OPTIMAL,2169.788092,3,0,16.81558585,35,10545.624,Yes,0,0,53.50162419,,
8371.024312,4055.555556,OPTIMAL,2153.143688,3,0,5.126106544,36,10524.168,Yes,0,0,53.09121423,,
8263.507746,4055.555556,OPTIMAL,1992.460254,3,0,3.310570067,37,10255.968,Yes,0,0,49.12915696,,
8473.357548,4055.555556,OPTIMAL,2490.658452,3,0,14.15042022,38,10964.016,Yes,0,0,61.41349608,,
8334.289683,4055.555556,OPTIMAL,2093.326317,3,0,22.05748338,39,10427.616,Yes,0,0,51.61626534,,
8445.425033,4055.555556,OPTIMAL,2400.582967,3,0,43.47773045,40,10846.008,Yes,0,0,59.19245672,,
8219.55774,4055.555556,OPTIMAL,1972.04226,3,0,32.66163519,41,10191.6,Yes,0,0,48.62569956,,
8306.460288,4055.555556,OPTIMAL,2035.331712,3,0,28.20889775,42,10341.792,Yes,0,0,50.1862614,,
8460.66095,4055.555556,OPTIMAL,2449.71505,3,0,11.35448401,43,10910.376,Yes,0,0,60.40393273,,
8390.270697,4055.555556,OPTIMAL,2219.721303,3,0,14.36944107,44,10609.992,Yes,0,0,54.73285405,,
8493.672104,4055.555556,OPTIMAL,2556.167896,3,0,21.17430942,45,11049.84,Yes,0,0,63.02879743,,
8460.66095,4055.555556,OPTIMAL,2449.71505,3,0,18.99908711,46,10910.376,Yes,0,0,60.40393273,,
8520.616167,4055.555556,OPTIMAL,2636.503833,3,0,26.10507232,47,11157.12,Yes,0,0,65.00968355,,
8563.248242,4055.555556,OPTIMAL,2701.151758,3,0,0.823221896,48,11264.4,Yes,0,0,66.60374199,,
8378.241706,4055.555556,OPTIMAL,2178.110294,4,0,8.795444667,1,10556.352,Yes,0,0,53.70682916,,
8671.773788,4055.555556,OPTIMAL,2939.051212,4,0,27.61425795,2,11610.825,Yes,0,0,72.46975591,,
8636.77476,4055.555556,OPTIMAL,2851.12524,4,0,13.05806912,3,11487.9,Yes,0,0,70.30171825,,
