Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW)
6284.326691782809,7,OPTIMAL,900.0,5,2.6116217352825233,7728.414553300001,3.4484768120557483,Yes,544.0878615171923
6381.726770706358,8,OPTIMAL,900.0,5,10.476625848169077,8014.3579489,10.412869282110092,Yes,732.6311781936417
6292.443365026438,9,OPTIMAL,900.0,5,11.531875974215398,7752.2431696,14.81643333195446,Yes,559.799804573563
6381.726770706358,10,OPTIMAL,900.0,5,12.088414440195088,8014.3579489,12.01484917166549,Yes,732.6311781936417
6314.087827009449,11,OPTIMAL,900.0,5,12.154306051689195,7815.7861464,14.572457410559087,Yes,601.6983193905542
6392.549001697864,12,OPTIMAL,900.0,5,25.772450897593103,8046.129437299999,24.940517585806695,Yes,753.5804356021374
6357.376750975471,13,OPTIMAL,900.0,5,3.29037767531774,7942.8721000000005,3.4835408404682267,Yes,685.4953490245291
6441.249041159639,14,OPTIMAL,900.0,5,19.670168579416444,8189.101135100002,17.03169777549036,Yes,847.852093940364
6333.026731244584,15,OPTIMAL,900.0,5,19.725309163532465,7871.386251099999,22.350052599545762,Yes,638.3595198554196
6297.854480522191,16,OPTIMAL,900.0,5,10.892241675606188,7768.128913799999,13.747902057797383,Yes,570.2744332778109
6265.387787547674,17,OPTIMAL,900.0,5,3.7549572917872163,7672.8144486,5.302386962785278,Yes,507.4266610523265
6235.626652321034,18,OPTIMAL,900.0,5,3.1487134222527637,7585.4428555,4.994938656624723,Yes,449.8162031789663
6384.432328454235,19,OPTIMAL,900.0,5,1.3281632865823791,8022.300821000001,1.3111978191217624,Yes,737.8684925457662
6227.509979077404,20,OPTIMAL,900.0,5,5.599944955581475,7561.6142392,9.194487873009852,Yes,434.104260122595
6322.6205584691525,1,OPTIMAL,1000.0,6,14.455375807668203,7903.1577394999995,18.233325190588186,Yes,580.5371810308516
6233.337152789231,2,OPTIMAL,1000.0,6,1.0192645185269242,7641.0429602,1.8083342881973081,Yes,407.7058074107697
6225.220479545603,3,OPTIMAL,1000.0,6,11.250223906971302,7617.2143439,20.73638277629588,Yes,391.9938643544008
