gen_id,year,capacity_added_mw,cumulative_capacity_mw,investment_cost
311,6,0.0,0.0,0.0
593,1,0.0,0.0,0.0
593,2,0.0,0.0,0.0
593,3,0.0,0.0,0.0
593,4,0.0,0.0,0.0
593,5,0.0,0.0,0.0
593,6,0.0,0.0,0.0
95,1,0.0,0.0,0.0
95,2,0.0,0.0,0.0
95,3,0.0,0.0,0.0
95,4,0.0,0.0,0.0
95,5,0.0,0.0,0.0
95,6,0.0,0.0,0.0
312,1,0.0,0.0,0.0
312,2,0.0,0.0,0.0
312,3,0.0,0.0,0.0
312,4,0.0,0.0,0.0
312,5,0.0,0.0,0.0
312,6,0.0,0.0,0.0
329,1,0.0,0.0,0.0
329,2,0.0,0.0,0.0
329,3,0.0,0.0,0.0
329,4,0.0,0.0,0.0
329,5,0.0,0.0,0.0
329,6,0.0,0.0,0.0
330,1,0.0,0.0,0.0
330,2,0.0,0.0,0.0
330,3,0.0,0.0,0.0
330,4,0.0,0.0,0.0
330,5,0.0,0.0,0.0
330,6,0.0,0.0,0.0
367,1,0.0,0.0,0.0
367,2,0.0,0.0,0.0
367,3,0.0,0.0,0.0
367,4,0.0,0.0,0.0
367,5,0.0,0.0,0.0
367,6,0.0,0.0,0.0
471,1,0.0,0.0,0.0
471,2,0.0,0.0,0.0
471,3,0.0,0.0,0.0
471,4,0.0,0.0,0.0
471,5,0.0,0.0,0.0
471,6,0.0,0.0,0.0
474,1,0.0,0.0,0.0
474,2,0.0,0.0,0.0
474,3,0.0,0.0,0.0
474,4,0.0,0.0,0.0
474,5,0.0,0.0,0.0
474,6,0.0,0.0,0.0
475,1,0.0,0.0,0.0
475,2,0.0,0.0,0.0
475,3,0.0,0.0,0.0
475,4,0.0,0.0,0.0
475,5,0.0,0.0,0.0
475,6,0.0,0.0,0.0
487,1,0.0,0.0,0.0
487,2,0.0,0.0,0.0
487,3,0.0,0.0,0.0
487,4,0.0,0.0,0.0
487,5,0.0,0.0,0.0
487,6,0.0,0.0,0.0
348,1,0.0,0.0,0.0
348,2,0.0,0.0,0.0
348,3,0.0,0.0,0.0
348,4,0.0,0.0,0.0
348,5,0.0,0.0,0.0
348,6,0.0,0.0,0.0
117,1,0.0,0.0,0.0
117,2,0.0,0.0,0.0
117,3,0.0,0.0,0.0
117,4,0.0,0.0,0.0
117,5,0.0,0.0,0.0
117,6,0.0,0.0,0.0
325,1,0.0,0.0,0.0
325,2,0.0,0.0,0.0
325,3,0.0,0.0,0.0
325,4,0.0,0.0,0.0
325,5,0.0,0.0,0.0
325,6,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
305,1,0.0,0.0,0.0
305,2,0.0,0.0,0.0
305,3,0.0,0.0,0.0
305,4,0.0,0.0,0.0
305,5,0.0,0.0,0.0
305,6,0.0,0.0,0.0
133,1,0.0,0.0,0.0
133,2,0.0,0.0,0.0
133,3,0.0,0.0,0.0
133,4,0.0,0.0,0.0
133,5,0.0,0.0,0.0
133,6,0.0,0.0,0.0
134,1,0.0,0.0,0.0
134,2,0.0,0.0,0.0
134,3,0.0,0.0,0.0
134,4,0.0,0.0,0.0
134,5,0.0,0.0,0.0
134,6,0.0,0.0,0.0
737,1,0.0,0.0,0.0
737,2,0.0,0.0,0.0
737,3,0.0,0.0,0.0
737,4,0.0,0.0,0.0
737,5,0.0,0.0,0.0
737,6,0.0,0.0,0.0
46,1,0.0,0.0,0.0
46,2,0.0,0.0,0.0
46,3,0.0,0.0,0.0
46,4,0.0,0.0,0.0
46,5,0.0,0.0,0.0
46,6,0.0,0.0,0.0
53,1,0.0,0.0,0.0
53,2,0.0,0.0,0.0
53,3,0.0,0.0,0.0
53,4,0.0,0.0,0.0
53,5,0.0,0.0,0.0
53,6,0.0,0.0,0.0
55,1,0.0,0.0,0.0
55,2,0.0,0.0,0.0
55,3,0.0,0.0,0.0
55,4,0.0,0.0,0.0
55,5,0.0,0.0,0.0
55,6,0.0,0.0,0.0
58,1,0.0,0.0,0.0
58,2,0.0,0.0,0.0
58,3,0.0,0.0,0.0
58,4,0.0,0.0,0.0
58,5,0.0,0.0,0.0
58,6,0.0,0.0,0.0
68,1,0.0,0.0,0.0
68,2,0.0,0.0,0.0
68,3,0.0,0.0,0.0
68,4,0.0,0.0,0.0
68,5,0.0,0.0,0.0
68,6,0.0,0.0,0.0
275,1,0.0,0.0,0.0
275,2,0.0,0.0,0.0
275,3,0.0,0.0,0.0
275,4,0.0,0.0,0.0
