model,scenario,region,variable,unit,time,value
PaCES,BAU,NS,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,NS,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,NS,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,ON,New Capacity|Electricity|Wind|Onshore,MW,2050,0.0
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2025,14299.065919825101
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2030,2153.398691789246
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2035,9218.578226180778
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2040,14057.815169497411
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2045,723.6066043218109
PaCES,BAU,ON,New Capacity|Electricity|Solar|PV,MW,2050,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2025,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2030,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2035,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2040,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2045,0.0
PaCES,BAU,ON,New Capacity|Electricity|Gas|CCS,MW,2050,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,PE,New Capacity|Electricity|Wind|Onshore,MW,2050,0.0
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2025,2888.8888888888887
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2030,0.0
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2035,2000.0
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2040,6666.666666666666
PaCES,BAU,PE,New Capacity|Electricity|Solar|PV,MW,2045,6347.554919104947
