type,line_id,year,hour,flow_mw
existing,2,2,8,150.0
existing,2,2,9,-150.0
existing,2,2,10,150.0
existing,2,2,11,150.0
existing,2,2,12,150.0
existing,2,2,13,150.0
existing,2,2,14,150.0
existing,2,2,15,150.0
existing,2,2,16,150.0
existing,2,2,17,150.0
existing,2,2,18,150.0
existing,2,2,19,150.0
existing,2,2,20,150.0
existing,2,2,21,150.0
existing,2,2,22,150.0
existing,2,2,23,150.0
existing,2,2,24,150.0
existing,2,2,25,150.0
existing,2,2,26,150.0
existing,2,2,27,150.0
existing,2,2,28,150.0
existing,2,2,29,150.0
existing,2,2,30,150.0
existing,2,2,31,150.0
existing,2,2,32,150.0
existing,2,2,33,150.0
existing,2,2,34,150.0
existing,2,2,35,150.0
existing,2,2,36,150.0
existing,2,2,37,150.0
existing,2,2,38,150.0
existing,2,2,39,150.0
existing,2,2,40,150.0
existing,2,2,41,150.0
existing,2,2,42,150.0
existing,2,2,43,150.0
existing,2,2,44,150.0
existing,2,2,45,150.0
existing,2,2,46,150.0
existing,2,2,47,-150.0
existing,2,2,48,150.0
existing,2,3,1,150.0
existing,2,3,2,150.0
existing,2,3,3,150.0
existing,2,3,4,-150.0
existing,2,3,5,-150.0
existing,2,3,6,150.0
existing,2,3,7,150.0
existing,2,3,8,150.0
existing,2,3,9,150.0
existing,2,3,10,150.0
existing,2,3,11,150.0
existing,2,3,12,150.0
existing,2,3,13,150.0
existing,2,3,14,150.0
existing,2,3,15,150.0
existing,2,3,16,150.0
existing,2,3,17,150.0
existing,2,3,18,150.0
existing,2,3,19,150.0
existing,2,3,20,150.0
existing,2,3,21,150.0
existing,2,3,22,150.0
existing,2,3,23,150.0
existing,2,3,24,150.0
existing,2,3,25,150.0
existing,2,3,26,150.0
existing,2,3,27,150.0
existing,2,3,28,-150.0
existing,2,3,29,150.0
existing,2,3,30,150.0
existing,2,3,31,150.0
existing,2,3,32,150.0
existing,2,3,33,150.0
existing,2,3,34,150.0
existing,2,3,35,150.0
existing,2,3,36,150.0
existing,2,3,37,150.0
existing,2,3,38,150.0
existing,2,3,39,150.0
existing,2,3,40,150.0
existing,2,3,41,150.0
existing,2,3,42,150.0
existing,2,3,43,150.0
existing,2,3,44,150.0
existing,2,3,45,150.0
existing,2,3,46,150.0
existing,2,3,47,150.0
existing,2,3,48,150.0
existing,2,4,1,150.0
existing,2,4,2,150.0
existing,2,4,3,150.0
existing,2,4,4,150.0
existing,2,4,5,150.0
existing,2,4,6,150.0
existing,2,4,7,150.0
existing,2,4,8,150.0
existing,2,4,9,150.0
existing,2,4,10,150.0
existing,2,4,11,150.0
existing,2,4,12,150.0
existing,2,4,13,150.0
existing,2,4,14,150.0
existing,2,4,15,150.0
existing,2,4,16,150.0
existing,2,4,17,150.0
existing,2,4,18,150.0
existing,2,4,19,150.0
existing,2,4,20,150.0
existing,2,4,21,150.0
existing,2,4,22,150.0
existing,2,4,23,150.0
existing,2,4,24,150.0
existing,2,4,25,150.0
existing,2,4,26,150.0
existing,2,4,27,150.0
existing,2,4,28,150.0
existing,2,4,29,150.0
existing,2,4,30,150.0
existing,2,4,31,150.0
existing,2,4,32,150.0
existing,2,4,33,150.0
existing,2,4,34,150.0
existing,2,4,35,150.0
existing,2,4,36,150.0
existing,2,4,37,150.0
existing,2,4,38,150.0
existing,2,4,39,150.0
existing,2,4,40,150.0
existing,2,4,41,150.0
existing,2,4,42,150.0
existing,2,4,43,150.0
existing,2,4,44,150.0
existing,2,4,45,150.0
existing,2,4,46,150.0
existing,2,4,47,150.0
existing,2,4,48,150.0
existing,2,5,1,150.0
existing,2,5,2,150.0
existing,2,5,3,150.0
existing,2,5,4,150.0
existing,2,5,5,150.0
existing,2,5,6,150.0
existing,2,5,7,150.0
existing,2,5,8,150.0
existing,2,5,9,150.0
existing,2,5,10,150.0
existing,2,5,11,150.0
existing,2,5,12,150.0
existing,2,5,13,150.0
existing,2,5,14,150.0
existing,2,5,15,150.0
existing,2,5,16,150.0
existing,2,5,17,150.0
existing,2,5,18,150.0
existing,2,5,19,150.0
existing,2,5,20,150.0
existing,2,5,21,150.0
existing,2,5,22,150.0
existing,2,5,23,150.0
existing,2,5,24,150.0
existing,2,5,25,150.0
existing,2,5,26,150.0
existing,2,5,27,150.0
existing,2,5,28,150.0
existing,2,5,29,150.0
existing,2,5,30,150.0
existing,2,5,31,150.0
existing,2,5,32,150.0
existing,2,5,33,150.0
existing,2,5,34,150.0
existing,2,5,35,150.0
existing,2,5,36,150.0
existing,2,5,37,150.0
existing,2,5,38,150.0
existing,2,5,39,150.0
existing,2,5,40,150.0
existing,2,5,41,150.0
existing,2,5,42,150.0
existing,2,5,43,150.0
existing,2,5,44,150.0
existing,2,5,45,150.0
existing,2,5,46,150.0
existing,2,5,47,150.0
existing,2,5,48,150.0
existing,2,6,1,150.0
existing,2,6,2,150.0
existing,2,6,3,150.0
existing,2,6,4,150.0
existing,2,6,5,150.0
existing,2,6,6,150.0
existing,2,6,7,150.0
existing,2,6,8,150.0
existing,2,6,9,150.0
existing,2,6,10,150.0
existing,2,6,11,150.0
existing,2,6,12,150.0
existing,2,6,13,150.0
existing,2,6,14,150.0
existing,2,6,15,150.0
existing,2,6,16,150.0
existing,2,6,17,150.0
existing,2,6,18,150.0
existing,2,6,19,150.0
existing,2,6,20,150.0
existing,2,6,21,150.0
existing,2,6,22,150.0
existing,2,6,23,150.0
existing,2,6,24,150.0
existing,2,6,25,150.0
existing,2,6,26,150.0
existing,2,6,27,150.0
existing,2,6,28,150.0
existing,2,6,29,150.0
existing,2,6,30,150.0
existing,2,6,31,150.0
existing,2,6,32,150.0
existing,2,6,33,150.0
existing,2,6,34,150.0
existing,2,6,35,150.0
existing,2,6,36,150.0
existing,2,6,37,150.0
existing,2,6,38,150.0
existing,2,6,39,150.0
existing,2,6,40,150.0
existing,2,6,41,150.0
existing,2,6,42,150.0
existing,2,6,43,150.0
existing,2,6,44,150.0
existing,2,6,45,150.0
existing,2,6,46,150.0
existing,2,6,47,150.0
existing,2,6,48,150.0
existing,3,1,1,-300.0
existing,3,1,2,-300.0
existing,3,1,3,-300.0
existing,3,1,4,-300.0
existing,3,1,5,-300.0
existing,3,1,6,-300.0
existing,3,1,7,-300.0
existing,3,1,8,-300.0
existing,3,1,9,-300.0
existing,3,1,10,-300.0
existing,3,1,11,-300.0
existing,3,1,12,-300.0
existing,3,1,13,-300.0
existing,3,1,14,-300.0
existing,3,1,15,-300.0
existing,3,1,16,-300.0
existing,3,1,17,-300.0
existing,3,1,18,-300.0
existing,3,1,19,-300.0
existing,3,1,20,-300.0
existing,3,1,21,-300.0
existing,3,1,22,-300.0
existing,3,1,23,-300.0
existing,3,1,24,-300.0
existing,3,1,25,-300.0
existing,3,1,26,-300.0
existing,3,1,27,-300.0
existing,3,1,28,-300.0
existing,3,1,29,-300.0
existing,3,1,30,-300.0
existing,3,1,31,-300.0
existing,3,1,32,-300.0
existing,3,1,33,-300.0
existing,3,1,34,-300.0
existing,3,1,35,-300.0
existing,3,1,36,-300.0
existing,3,1,37,-300.0
existing,3,1,38,-300.0
existing,3,1,39,-300.0
existing,3,1,40,-300.0
existing,3,1,41,-300.0
existing,3,1,42,-287.247106383
existing,3,1,43,-300.0
existing,3,1,44,-300.0
existing,3,1,45,-300.0
existing,3,1,46,-300.0
existing,3,1,47,-300.0
existing,3,1,48,-300.0
existing,3,2,1,-300.0
existing,3,2,2,-300.0
existing,3,2,3,-300.0
existing,3,2,4,-300.0
existing,3,2,5,-300.0
existing,3,2,6,-300.0
existing,3,2,7,-300.0
existing,3,2,8,-300.0
existing,3,2,9,-300.0
existing,3,2,10,-300.0
existing,3,2,11,-300.0
existing,3,2,12,-300.0
existing,3,2,13,-300.0
existing,3,2,14,-300.0
existing,3,2,15,-300.0
existing,3,2,16,-300.0
existing,3,2,17,-300.0
existing,3,2,18,-286.323379555
existing,3,2,19,-277.4283689884992
existing,3,2,20,-300.0
existing,3,2,21,-300.0
existing,3,2,22,-300.0
existing,3,2,23,-300.0
existing,3,2,24,-300.0
existing,3,2,25,-300.0
existing,3,2,26,-300.0
existing,3,2,27,-300.0
existing,3,2,28,-300.0
existing,3,2,29,-300.0
existing,3,2,30,-300.0
existing,3,2,31,-300.0
existing,3,2,32,-300.0
existing,3,2,33,-300.0
existing,3,2,34,-300.0
existing,3,2,35,-300.0
existing,3,2,36,-300.0
existing,3,2,37,-300.0
existing,3,2,38,-300.0
existing,3,2,39,-287.3726656562999
existing,3,2,40,-228.25933978469965
existing,3,2,41,-300.0
existing,3,2,42,-300.0
existing,3,2,43,-234.35010616889957
existing,3,2,44,-300.0
existing,3,2,45,-300.0
existing,3,2,46,-299.2505740216984
existing,3,2,47,-300.0
existing,3,2,48,-300.0
existing,3,3,1,-300.0
existing,3,3,2,-300.0
existing,3,3,3,-300.0
existing,3,3,4,-300.0
existing,3,3,5,-300.0
existing,3,3,6,-300.0
existing,3,3,7,-300.0
existing,3,3,8,-300.0
existing,3,3,9,-300.0
existing,3,3,10,-300.0
existing,3,3,11,-300.0
existing,3,3,12,-216.85102132349056
existing,3,3,13,-164.69730166725003
existing,3,3,14,-220.86749417425017
existing,3,3,15,-264.3294971514997
existing,3,3,16,-216.64372833613032
existing,3,3,17,-164.98863107709002
existing,3,3,18,-300.0
existing,3,3,19,-128.5262058873497
existing,3,3,20,-210.87051539448038
existing,3,3,21,-231.03404170825024
existing,3,3,22,-188.59264394054043
existing,3,3,23,-300.0
existing,3,3,24,-300.0
existing,3,3,25,-300.0
existing,3,3,26,-300.0
existing,3,3,27,-300.0
existing,3,3,28,-300.0
existing,3,3,29,-300.0
existing,3,3,30,-300.0
