id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
149,SS_179,SS_688,230,232.5,0.12703,558
150,VS_915,VS_916,230,1.8,0.00096,558
151,SS_166,SS_348,230,12.2,0.00668,558
152,SS_166,VS_915,230,9.3,0.00508,558
153,SS_169,SS_769,230,21.5,0.01176,558
154,VS_917,SS_169,230,15.8,0.00866,558
155,SS_165,SS_57,735,155.1,0.00287,1910
156,SS_181,VS_918,735,219.9,0.00407,1910
157,VS_919,SS_154,230,11.5,0.0063,558
158,VS_920,SS_635,230,32.1,0.01751,558
159,VS_919,SS_154,230,11.8,0.00644,558
160,VS_921,SS_172,315,3.2,0.00064,928
161,SS_28,SS_30,230,25.5,0.01396,558
162,SS_413,SS_646,230,117.4,0.06415,558
163,VS_922,SS_174,230,79.4,0.04339,558
164,SS_476,SS_710,230,136.3,0.07448,558
165,SS_179,SS_476,230,110,0.06007,558
166,SS_41,VS_925,315,4.6,0.00092,928
167,VS_926,VS_925,315,3.2,0.00065,928
168,SS_183,SS_143,500,296.7,0.01495,1039
169,SS_181,SS_155,735,272.8,0.00505,1910
170,SS_183,SS_164,500,483.2,0.02436,2078
171,SS_183,SS_129,500,238.1,0.012,1039
172,SS_183,SS_129,500,238.3,0.01201,1039
173,SS_182,SS_183,500,25.1,0.00126,1039
174,SS_176,VS_927,230,8.9,0.00485,558
175,VS_928,SS_351,230,2.2,0.00121,558
176,VS_931,VS_932,230,10.4,0.00569,558
177,VS_933,VS_934,230,9.3,0.00508,558
178,VS_935,SS_590,230,50.9,0.02782,558
179,SS_10,SS_190,230,35.4,0.01936,558
180,SS_377,SS_373,230,79.8,0.04359,558
181,SS_235,VS_936,345,136.8,0.03321,837
182,SS_120,VS_937,345,159.6,0.03875,837
183,SS_533,SS_531,240,85.7,0.03718,624
184,VS_936,SS_685,345,100,0.02428,837
185,SS_781,SS_192,735,20.3,0.00038,1910
186,VS_938,SS_192,735,84.6,0.00157,1910
187,SS_41,VS_939,735,177,0.00328,1910
188,SS_13,VS_940,230,59.8,0.03267,558
189,SS_13,SS_12,230,105,0.05735,558
190,SS_199,SS_7,230,25.4,0.01385,558
191,SS_193,VS_941,230,1.7,0.00095,558
192,SS_197,VS_942,230,1.1,0.00059,558
193,VS_942,SS_197,230,1.1,0.00062,558
194,SS_134,SS_154,735,563.4,0.01043,3819
195,SS_290,SS_714,230,143.7,0.07853,558
196,VS_937,SS_204,345,33.3,0.00808,837
197,VS_943,SS_290,230,102.4,0.05594,558
198,VS_944,VS_945,230,112.4,0.06142,558
199,SS_149,SS_221,735,133.5,0.00247,1910
200,SS_212,SS_221,315,6.5,0.00132,928
201,SS_215,VS_922,230,1,0.00055,558
202,SS_218,SS_216,230,9.3,0.00508,558
203,SS_221,SS_45,735,65.7,0.00122,1910
204,SS_146,SS_307,287,214.5,0.07526,696
205,SS_570,SS_231,230,46.2,0.02522,558
206,SS_227,SS_570,230,36.1,0.01975,558
207,VS_946,SS_227,230,4.4,0.0024,558
208,SS_642,SS_678,230,51.2,0.02797,558
209,SS_642,SS_231,230,0.9,0.00049,558
210,SS_227,SS_281,230,501.1,0.27378,1115
211,VS_947,SS_732,230,5,0.00272,558
212,VS_948,SS_576,230,65.4,0.03573,558
213,VS_949,SS_18,280,7,0.00257,679
214,SS_204,VS_937,345,33.4,0.0081,837
215,SS_120,VS_937,345,159.5,0.03873,837
216,SS_455,VS_950,240,25.9,0.01122,624
217,SS_265,SS_446,230,1.5,0.00081,558
218,SS_133,SS_737,735,7.9,0.00015,1910
219,SS_213,VS_952,230,6.7,0.00365,558
220,SS_651,SS_650,280,10.4,0.00383,679
221,VS_953,SS_659,280,36.3,0.01337,679
222,VS_949,SS_651,260,44.6,0.01908,630
223,SS_30,VS_949,280,8.7,0.00322,679
224,SS_15,SS_674,230,382.3,0.20887,558
225,SS_238,SS_74,230,5.4,0.00293,558
226,SS_366,SS_196,500,454.5,0.02291,2078
227,SS_265,VS_954,230,7.1,0.0039,558
228,SS_265,SS_446,230,1.5,0.00081,558
229,SS_241,VS_935,230,8.2,0.00447,558
230,VS_906,SS_241,315,81.3,0.01638,928
231,SS_241,VS_955,230,32.7,0.01788,558
232,VS_956,SS_244,230,4.9,0.0027,558
233,SS_242,VS_956,230,61.1,0.03337,558
234,SS_245,SS_137,230,78.2,0.0427,558
235,SS_137,SS_249,230,59,0.03224,558
236,VS_957,SS_187,230,22.2,0.01214,558
237,SS_187,SS_310,230,43,0.02349,558
238,VS_958,SS_187,230,25.7,0.01404,558
239,SS_685,SS_643,345,56.3,0.01366,837
240,SS_643,SS_773,138,83.8,0.14293,239
241,SS_812,SS_426,230,84.6,0.04624,558
242,SS_261,VS_959,230,6,0.00329,558
243,SS_33,SS_842,230,5.8,0.00315,558
244,VS_953,SS_650,280,5.5,0.00202,679
245,SS_258,VS_961,230,88,0.04808,558
246,SS_258,SS_294,500,72.5,0.00365,1039
247,VS_962,VS_963,230,13.2,0.00719,558
248,SS_649,VS_963,230,1.7,0.00093,558
249,SS_718,SS_264,230,201.9,0.1103,558
250,SS_13,SS_37,500,103,0.00519,1039
251,SS_279,SS_13,500,123.8,0.00624,1039
252,VS_964,SS_13,230,30.9,0.01685,558
253,VS_966,SS_362,230,5.6,0.00307,558
254,SS_261,VS_967,230,16.4,0.00893,558
