id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
441,1241,N,10,15,gas,0,110,55
442,1045,N,10,15,hydro,0,274,8
443,856,N,10,15,hydro,0,18.4,8
444,705,N,10,15,hydro,0,28,8
445,118,N,10,15,solar,0,10,15
446,119,N,10,15,solar,0,10,15
447,119,N,10,15,solar,0,10,15
448,106,N,10,15,solar,0,20,15
449,1278,N,10,15,solar,0,20,15
450,337,N,10,15,solar,0,10,15
451,204,N,10,15,hydro,0,15,8
452,124,N,10,15,solar,0,10,15
453,893,N,10,15,hydro,0,23,8
454,123,N,10,15,solar,0,10.9,15
455,204,N,10,15,oil,0,38,65
456,1204,N,10,15,coal,0,467,50
457,888,N,10,15,solar,0,10,15
458,1276,N,10,15,solar,0,10,15
459,501,N,10,15,solar,0,50,15
460,308,N,10,15,solar,0,11.5,15
461,818,N,10,15,hydro,0,245,8
462,776,N,10,15,diesel,0,12,70
463,998,N,10,15,gas,0,300,55
464,411,N,10,15,coal,0,276,50
465,23,N,10,15,hydro,0,60,8
466,1151,N,10,15,hydro,0,211,8
467,656,N,10,15,hydro,0,66,8
468,1029,N,10,15,solar,0,10,15
469,881,N,10,15,solar,0,10,15
470,106,N,10,15,solar,0,10,15
471,106,N,10,15,solar,0,9.1,15
472,412,N,10,15,gas,0,234,55
473,547,N,10,15,gas,0,100,55
474,776,N,10,15,solar,0,21,15
475,305,N,10,15,hydro,0,18.3,8
476,124,N,10,15,solar,0,10,15
477,124,N,10,15,solar,0,13,15
478,553,N,10,15,gas,0,100,55
479,151,N,10,15,hydro,0,25.9,8
480,712,N,10,15,gas,0,89,55
481,329,N,10,15,biomass,0,28,40
482,937,N,10,15,oil,0,285,65
483,295,N,10,15,hydro,0,91,8
484,20,N,10,15,solar,0,10,15
485,660,N,10,15,hydro,0,41,8
486,480,N,10,15,hydro,0,833,8
487,561,N,10,15,coal,0,183,50
488,639,N,10,15,hydro,0,62,8
489,1149,N,10,15,hydro,0,25.3,8
490,1149,N,10,15,hydro,0,81.4,8
491,554,N,10,15,gas,0,228,55
492,397,N,10,15,gas,0,110,55
493,402,N,10,15,gas,0,474,55
494,164,N,10,15,hydro,0,2730,8
495,1066,N,10,15,gas,0,376,55
496,789,N,10,15,gas,0,353,55
497,673,N,10,15,gas,0,265,55
498,495,N,10,15,gas,0,118,55
499,538,N,10,15,gas,0,203,55
500,513,N,10,15,gas,0,172,55
501,442,N,10,15,gas,0,85,55
502,1184,N,10,15,gas,0,195,55
503,553,N,10,15,gas,0,195,55
504,540,N,10,15,gas,0,202,55
505,464,N,10,15,gas,0,135,55
506,955,N,10,15,biomass,0,21,40
507,13,N,10,15,hydro,0,25,8
508,13,N,10,15,hydro,0,50,8
509,13,N,10,15,hydro,0,25,8
510,204,N,10,15,nuclear,0,660,10
511,356,N,10,15,gas,0,156,55
512,404,N,10,15,solar,0,41,15
513,443,N,10,15,solar,0,10,15
514,1010,N,10,15,hydro,0,19,8
515,1024,N,10,15,solar,0,15,15
516,783,N,10,15,solar,0,22,15
517,788,N,10,15,solar,0,10.5,15
518,788,N,10,15,solar,0,20,15
519,788,N,10,15,solar,0,19,15
520,448,N,10,15,solar,0,23,15
521,448,N,10,15,solar,0,23,15
522,591,N,10,15,solar,0,58,15
523,591,N,10,15,solar,0,75,15
524,641,N,10,15,solar,0,23,15
525,641,N,10,15,solar,0,22,15
526,407,N,10,15,solar,0,25,15
527,434,N,10,15,solar,0,465,15
528,8,N,10,15,solar,0,20.5,15
529,788,N,10,15,solar,0,41.4,15
530,793,N,10,15,solar,0,13.5,15
531,1011,N,10,15,hydro,0,15,8
